,loss,f1_score,precision,recall,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/loss_fn,config/lr,config/momentum,config/optim_type,config/weight decay,config/num_layers,config/hidden_size,config/num_fc_layers,config/activation_type,logdir
94,0.05335674807429314,0.3402950773578335,0.2963951935914553,0.39946018893387314,1709345512,,False,100,ce9bc_00094,2024-03-01_18-11-52,10.8694429397583,974.7946643829346,7529,bling-bling,192.168.0.125,974.7946643829346,100,Focal,0.1,0.15442246881095764,2,1e-05,2,32,1,2,ce9bc_00094
59,0.3104800283908844,0.30415755328622646,0.29612270984235195,0.31264057579847054,1709342542,,False,100,ce9bc_00059,2024-03-01_17-22-22,10.540574312210083,1053.3891146183014,7529,bling-bling,192.168.0.125,1053.3891146183014,100,CrossEntropy,0.01,0.0657407358218896,1,1e-05,4,128,1,2,ce9bc_00059
29,0.0030651113484054804,0.2748678497780263,0.294997421351212,0.2573099415204678,1709340283,,False,100,ce9bc_00029,2024-03-01_16-44-43,11.18149709701538,1186.9247534275055,7545,bling-bling,192.168.0.125,1186.9247534275055,100,Focal,0.001,0.010243632131279549,1,1e-05,6,64,1,2,ce9bc_00029
12,0.045399367809295654,0.3231050607446131,0.29466271312083026,0.3576248313090418,1709339095,,False,100,ce9bc_00012,2024-03-01_16-24-55,9.949055194854736,974.1394045352936,7526,bling-bling,192.168.0.125,974.1394045352936,100,Focal,0.01,0.16665608551928393,1,1e-05,2,16,1,2,ce9bc_00012
80,0.6236000657081604,0.37473479397472087,0.29405737704918034,0.5164192532613585,1709344532,,False,100,ce9bc_00080,2024-03-01_17-55-32,9.227944374084473,922.1100132465363,7521,bling-bling,192.168.0.125,922.1100132465363,100,CrossEntropy,0.01,0.17275758174924313,2,1e-05,2,16,1,2,ce9bc_00080
125,0.05886105075478554,0.37564934664934146,0.2938785877571755,0.52046783625731,1709348516,,False,100,ce9bc_00125,2024-03-01_19-01-56,10.276540279388428,1031.7325429916382,7526,bling-bling,192.168.0.125,1031.7325429916382,100,Focal,0.001,0.08599444993662501,2,1e-05,4,64,1,2,ce9bc_00125
130,0.6303750276565552,0.37055500544199044,0.2938076416337286,0.50157444894287,1709348788,,False,100,ce9bc_00130,2024-03-01_19-06-28,9.89395260810852,1002.587975025177,7527,bling-bling,192.168.0.125,1002.587975025177,100,CrossEntropy,0.01,0.08406478962660703,2,1e-05,4,32,1,2,ce9bc_00130
93,0.05325524881482124,0.3607068507770795,0.2933220625528318,0.4682860998650472,1709345510,,False,100,ce9bc_00093,2024-03-01_18-11-50,10.753492832183838,974.0855147838593,7527,bling-bling,192.168.0.125,974.0855147838593,100,Focal,0.1,0.11269416231632975,2,1e-05,2,64,1,2,ce9bc_00093
132,0.0578402578830719,0.3765690313271517,0.2931596091205212,0.5263157894736842,1709349182,,False,100,ce9bc_00132,2024-03-01_19-13-02,10.285468339920044,1024.2428736686707,7528,bling-bling,192.168.0.125,1024.2428736686707,100,Focal,0.01,0.02485320809940288,2,1e-05,4,16,1,2,ce9bc_00132
13,0.027002695947885513,0.31142014712069144,0.29290527150217993,0.3324336482231219,1709339096,,False,100,ce9bc_00013,2024-03-01_16-24-56,9.945338249206543,973.2741460800171,7545,bling-bling,192.168.0.125,973.2741460800171,100,Focal,0.01,0.043255483024976955,1,1e-05,2,64,1,2,ce9bc_00013
25,0.033520396798849106,0.2765151384080657,0.29185407296351823,0.2627080521817364,1709340261,,False,100,ce9bc_00025,2024-03-01_16-44-21,10.507787704467773,1172.5955238342285,7538,bling-bling,192.168.0.125,1172.5955238342285,100,CrossEntropy,0.001,0.15725001631720972,1,1e-05,6,64,1,2,ce9bc_00025
32,0.5431775450706482,0.35669456673661,0.29120409906063194,0.4601889338731444,1709340286,,False,100,ce9bc_00032,2024-03-01_16-44-46,10.971927165985107,1175.4927685260773,7527,bling-bling,192.168.0.125,1175.4927685260773,100,CrossEntropy,0.01,0.013945267004070623,1,1e-05,6,16,1,2,ce9bc_00032
19,0.6955076456069946,0.39702304605299865,0.29114189756507136,0.6239316239316239,1709339086,,False,100,ce9bc_00019,2024-03-01_16-24-46,9.55585765838623,957.3441486358643,7523,bling-bling,192.168.0.125,957.3441486358643,100,CrossEntropy,0.1,0.05895459889941034,1,1e-05,2,128,1,2,ce9bc_00019
